Brand,Description,EndingInventoryUnits,UnsoldCapital
4359,Mr Boston Light Rum,1595,15934.05
4362,Ron Virgin Heavy Bodied Rum,282,2253.1800000000003
4363,Capt Morgan Black Spiced Rum,438,14449.62
4365,Calypso Silver Rum,4116,4074.84
4366,Kraken Black Rum 70 Proof,672,12089.279999999999
4368,Capt Morgan Private Stock,1293,45242.07
4370,Ron Virgin White,1381,15177.19
4377,Cruzan 9 Rum,24,311.76
4379,Bacardi Coconut,503,497.97
4380,Ron Virgin Heavy Bodied Rum,1777,24860.23
4382,Admiral Nelson Spiced Rum,983,13752.17
4383,Bacardi Pineapple Fusion Trv,26,259.74
4385,Parrot Bay 90 Coconut Capt,780,19492.199999999997
4386,Casa Noble Reposado,363,16331.37
4387,Allens Coffee Brandy Trv,22,186.78000000000003
4389,Amaro Montenegro Liqueur,146,3648.54
4390,Ron Zacapa 23 Yr Old Rum,450,19345.5
4391,Matusalem Gran Reserva Rum,129,2965.71
4397,Capt Morgan Parrot Bay Mango,1,11.99
4399,Screech Honey Rum,63,818.37
4401,Papa Pilar Double Barrel Rum,152,6078.4800000000005
4402,Don Q Gran Anejo Rum VAP,463,25460.37
4404,Bacardi Gold Rum,1319,7241.31
4408,Screech Spiced Rum,127,1649.73
4410,Cruzan Mango Flavored Rum,967,9660.33
4411,Fabrizia Italian Margarita,5,49.95
4412,Pusser's British Navy Rum,464,8347.359999999999
4413,Casamigos Blanco,2365,4706.35
4414,Cruzan Pineapple Rum,679,6783.21
4415,Cruzan Banana Flavored Rum,43,472.57
4416,Cruzan Coconut Flavored Rum,1050,10489.5
4418,Don Q Single Barrel Rum,181,6876.1900000000005
4421,Cruzan Vanilla Flavored Rum,91,1000.09
4422,Jenkins Spiced Rum,529,4226.71
4423,Appleton Estate 50Yr Old Rum,3,14999.97
4427,Rhum Barbancourt 3 Star,5,72.45
4429,Capt Morgan Silver Spicd Rum,1530,33644.7
4431,Screech Rum,568,8514.32
4437,Mount Gay Eclipse,2175,69578.25
4438,Cruzan Black Cherry Rum,984,9830.16
4447,Patron XO Cafe Dark Cocoa,1397,36308.03
4450,Leblon Natural Cane Cachaca,325,9421.75
4460,Cruzan Strawberry Rum,22,241.78
4478,Myers Original Dark Rum,1195,21498.05
4480,Appleton Special Gold Rum,532,6910.68
4482,Don Pancho Origenes Rsva Rum,303,10601.970000000001
4483,Casamigos Reposado,1961,4882.89
4488,Zhenka Tropical Dark Rum,1115,12811.35
4491,Calvados Marquis De St Loup,229,6638.709999999999
4494,Jenkins French Brandy,1025,15364.75
4498,Calvados Boulard Grnd Brandy,258,9285.42
4502,E & J XO Brandy,741,16294.589999999998
4505,El Jimador Reposado Tequila,5,89.94999999999999
4511,Camus Extra Elegance,37,12579.630000000001
4513,Chauffe-Coeur Calvados VSOP,298,13407.02
4521,Appleton Estate Reserve Rum,402,8839.98
4522,Lairds Apple Jack,834,13335.66
4524,Smoky Quartz Granite Cst Rum,293,8054.57
4527,Camus Grand VSOP Elegance,144,5038.56
4528,Remy Martin XO Cognac,465,67420.35
4540,Chase Elderflower Liqueur,202,5047.98
4542,Richland Rum,56,3247.44
4545,Capel Premium Pisco,21,293.79
4550,E & J XO Brandy,1592,20680.08
4556,Austin Cocktails Vodkarita,62,929.38
4563,Christian Bros Brandy,915,17375.85
4565,Christian Bros VS Brandy,1097,10410.53
4574,Remy Martin VS Cognac,13,415.87
4575,Brugal XV Rum,78,1949.2199999999998
4580,Casamigos Reposado Tequila,368,9932.32
4582,Diplomatico Venezln Rsva Rum,401,14030.99
4583,Perc Coffee Liqueur,78,1793.2199999999998
4595,Don Pancho Origenes 18Yr Rum,159,14308.41
4606,Gr Mayan Anejo Barrel Aged,82,11479.18
4616,Penny Blue XO Mauritian Rum,174,10438.26
4620,Papa's Pilar Blonde Rum,389,9721.109999999999
4624,Meukow 90,765,15292.349999999999
4625,Courvoisier XO Cognac,246,34437.54
4626,Meukow VS Cognac,1198,17958.02
4627,Wiggly Bridge Gold Rum,10,499.9
4628,Martell Cordon Bleu,274,30137.26
4629,Courvoisier C,200,6798.0
4632,Hennessey Master Blenders #1,140,11198.6
4634,Gold Crown Wh Rum,1493,16408.07
4639,"Jefferson's ""Ocean"" Bourbon",8,639.92
4652,Hennessy XO Cognac,446,71355.54000000001
4662,Capt Morgan White Traveler,924,18470.76
4664,Hennessy Black Cognac,712,25624.88
4670,Bacardi Dragon Berry Rum,884,3527.1600000000003
4673,Hennessy VS Cognac,753,52702.469999999994
4677,Courvoisier 12 Yr Cognac,290,13047.1
4678,Courvoisier VS Cognac,1063,24438.37
4679,Courvoisier VS Cognac,1256,15059.44
4682,Courvoisier VSOP Cognac,1153,40343.47
4683,Hennessy VS Cognac,4120,16438.8
4686,Courvoisier VS Cognac,446,22295.54
4687,DeLuze VS Cognac,389,8943.109999999999
4689,Hennessy Privilege VSOP,1402,65879.98
4692,Ron Barcelo Anejo Rum,366,5120.34
4696,Blue Chair Bay Banana Rum,2,27.98
4697,Courvoisier 21 Yr Cognac,54,13499.46
4701,Fabrizia Limoncello,1493,25366.07
4702,Metaxa Amphora,418,9609.82
4703,Blue Chair Bay Coconut Rum,78,77.22
4705,Blue Chair Bay Banana Rum,88,87.12
4722,Remy Martin VSOP Cognac,2967,103815.33
4724,Patron Citronge Lime Liqueur,843,17694.57
4732,Remy Martin VSOP Cognac,399,33911.009999999995
4734,Capt Morgan Cannon Blast,2196,32918.04
4736,Capt Morgan Spiced Rum,1298,3881.0200000000004
4737,St Remy VSOP Authentic Brndy,1085,11924.15
4752,Flor de Cana 4Yr Gold Rum,125,2498.75
4757,Flor De Cana 4 Yr Old Wh Rum,3,41.97
4760,Kinky Flame Whisky,680,12233.199999999999
4762,Hartley Brandy VS,974,6808.26
4764,Flor de Cana Gran Rsv Rum,393,7856.07
4767,El Jimador Reposado Tequila,523,13592.769999999999
4772,Blue Chair Bay Banana Cream,947,16089.529999999999
4779,Molletto Grappa di Barbera,298,8043.0199999999995
4783,Mr Boston Apricot Brandy,881,12325.19
4784,Presidente Solera Brandy,33,626.67
4785,Remy Martin XO Excellence,827,62016.729999999996
4787,Appleton Special Gold Rum,607,12133.929999999998
4796,Caravella Limoncello,634,10771.66
4798,Sambuca Romana Liqueur,8277,16471.23
4802,Monteru Sauternes French Bra,117,6433.83
4804,Rhum Barbancourt RSV Special,909,16352.909999999998
4806,Leroux Blackberry Brandy,816,12231.84
4808,Leroux Polish Blackberry Bdy,25,224.75
4813,Monteru Sherry French Brandy,115,6323.85
4817,Skyy Infusions TX Grapefruit,1132,14704.68
4818,Skyy Infusions Pacific Blueb,990,12860.1
4824,Deep Eddy Sweet Tea Vodka,64,1151.36
4829,Mr Boston Blackberry Brandy,1056,14773.44
4833,Plantation Original Dark Rum,6,107.94
4834,Ole Smoky Shine Nog,2,26.98
4844,Monteru Triple Toast Brandy,96,5279.04
4845,Arrow Cherry Brandy,194,1550.06
4846,Cruzan Estate Diamond Dark,147,2497.5299999999997
4857,Skyy Infusions Grapefuit,791,783.0899999999999
4858,Kraken Black Spiced Rum 94P,3364,6694.36
4868,Skyy Infusions Blueberry,1258,1245.42
4876,Skyy Infusion Tropical Mango,395,3946.05
4878,Allens Coffee Brandy,878,6137.22
4881,Bacardi Twin Pack 2/750mls,7,139.93
4882,Arrow Coffee Brandy,1116,7242.84
4884,Bayou Silver Rum,574,9178.26
4886,St Remy VSOP Authentic Brndy,248,5453.5199999999995
4889,Jenkins Coffee Brandy,973,8747.27
4890,Skyy Infusion Tropical Mango,4858,4809.42
4892,DeKuyper Coffee Brandy,24,239.76
4896,Hiram Walker Coffee Brandy,942,16946.579999999998
4897,Remy Martin VSOP Cognac,3270,14682.300000000001
4898,Mount Gay Extra Old Rum,1076,43029.240000000005
4899,Clement Mahina Coco Liqueur,220,4177.799999999999
4902,Ron Virgin Bold Coconut Rum,99,1088.0100000000002
4903,Bacardi Superior Rum,8,31.92
4904,Bayou Spiced Rum,602,9625.98
4916,Mr Boston Coffee Brandy,1095,10939.05
4932,Arrow Ginger Brandy,1123,8972.77
4938,Kapali Coffee,1416,12729.84
4939,Kapali Coffee,978,15638.22
4942,Cruzan 151 Aged Rum,389,7776.11
4945,Jacquin Ginger Brandy,931,8835.19
4948,Ron Virgin Black Spiced Rum,20,259.8
4959,Bacardi Tangerine,2548,2522.52
4978,Jacquin Peach Brandy,63,660.87
4979,Patron Silver Tequila,1220,85387.79999999999
4989,Martell VS Cognac,681,14975.189999999999
4994,Laird's Jersey Lightning,227,4537.73
5001,Johnnie Walker King George V,7,3149.9300000000003
5003,Brinley Shipwreck Coconut Cr,788,780.12
5014,Penn Dutch Pumpkin Cr Liquer,4,27.96
5015,Arrow Creme de Banana,461,3683.3900000000003
5016,Villa Zarri Coffee Brandy,5,294.95
5018,E&J Apple Brandy,3351,3317.49
5021,Hot Rose Cinnamon Cream,9,107.91
5027,99 Apples Schnapps Liqueur,738,8848.62
5031,DeKuyper Peppermint Schnapp,850,12741.5
5033,Fireball Cinnamon Whisky,1093,19663.07
5042,Tequila Rose Liqueur,1117,16743.83
5054,Jagermeister Spice,1592,3168.08
5056,Hiram Walker Pumpkin Spice,1,9.99
5058,Capt Morgan Long Isl Tea RTD,736,13240.64
5060,Dr McGillicuddy's Butterscth,2204,30833.96
5065,Berentzen Apple Liqueur,164,3278.3599999999997
5067,Zodiac Vodka,1110,13863.9
5070,Russo Limoncello,371,9642.289999999999
5071,Drambuie 15 Yr Old,18,629.82
5075,Tuaca Italian Liqueur,63,1385.37
5076,M Duffau Napoleon Armagnac,570,20514.3
5079,Zodiac Black Cherry Vodka,1349,16849.010000000002
5080,Hpnotiq Harmonie,5,99.94999999999999
5083,DK Burst Blustery Pmnt Trav,19,208.81
5087,Dr McGillicuddy's Peach,1196,16732.04
5090,El Charro Silver Tequila,627,8144.7300000000005
5094,Jagermeister Liqueur,654,2282.46
5096,DeKuyper Peachtree Schnapps,1359,14935.41
5098,Agavero Orange Liqueur Agave,4,87.96
5101,Dr McGillicuddy's Mentholmnt,4584,64130.16
5102,Brinley Shipwreck Coconut Cr,421,8415.789999999999
5103,Fireball Cinnamon Whisky,3937,94448.62999999999
5104,Nuvo Lemon Sorbet Liqueur,5,124.94999999999999
5105,Dr McGillicuddy's Mentholmnt,1914,38260.85999999999
5106,Capt Morgan Long Isl Tea RTD,7,83.93
5107,St Remy XO Napoleon Brandy,520,7794.8
5109,Dr McGillicuddy's Menth Trav,1201,16801.99
5111,Dr McGillicuddy's Mentholmnt,13804,13665.96
5114,DeKuyper Red Headed Burst,1,10.49
5124,Cointreau Liqueur,688,44713.119999999995
5125,DeKuyper Anisette,681,5441.1900000000005
5126,Marzadro Le Diciotto Lune,102,5608.98
5128,Carolans Irish Cream,1071,12841.29
5130,X Rated Fusion Liqueur,351,7016.49
5132,Agavero Tequila Liqueur,4,103.96
5133,E&J Apple Brandy,765,6877.35
5134,Dr McGillicuddy's Cherry,2243,31379.57
5135,Ancho Reyes Chile Liqueur,22,725.78
5137,Irish Manor Irish Cream,809,8081.91
5138,Fireball Cinnamon Whisky,8788,122944.12
5142,Carolans Irish Cream,768,17656.32
5145,Malibu Island Spiced Rum,5,62.45
5146,Pama Pomegranate Liqueur,627,11279.73
5147,Pallini Limoncello Liqueur,824,9879.76
5148,St Brendans Irish Cream,665,11963.349999999999
5149,Hpnotiq Liqueur,263,9202.37
5152,Patron Citronge Mango Liquer,485,7997.65
5153,Fireball Cinn Whisky Trav,1308,18298.920000000002
5155,Arrow Brown Creme de Cacao,449,3587.51
5160,Hpnotiq Liqueur,530,5824.7
5165,Hpnotiq Liqueur,681,13613.189999999999
5167,Banfi Grappa Castello,23,919.77
5168,Kahlua French Vanilla,629,11944.71
5169,Kahlua Hazelnut,5,94.94999999999999
5170,Dr McGillicuddy's Apple Pie,2264,31673.36
5171,Fernet-Branca Italian Liquer,1304,3246.9600000000005
5185,Irish Manor Irish Cream,237,4737.629999999999
5187,Arrow White Creme de Cacao,471,3763.29
5188,Cointreau Noir Liqueur,205,6557.95
5191,Fireball Cinnamon Whiskey,2251,22487.49
5192,Kahlua Mocha,146,2772.54
5194,Bacardi Party Mai Tai,208,3325.92
5195,Jenkins Melon Liqueur,1022,6121.78
5196,Delord Bas-Armagnac 25 Yr,54,4319.46
5197,Southern Comfort,1917,15316.83
5198,The Bitter Truth Violet,127,4443.7300000000005
5202,Dr McGillicuddy's Vanilla,1262,17655.38
5205,Don Felix Plata Tequila,239,8123.610000000001
5212,Margaritaville Silver,545,10894.55
5214,Bacardi Party Drinks Rum Run,11,175.89000000000001
5215,TGI Fridays Long Island Iced,812,10547.880000000001
5218,Chila Orchata Cinnamon Cream,852,11919.48
5219,Sambuca Romana Black,1205,24087.949999999997
5221,RumChata Liqueur,893,9814.07
5228,DeKuyper Wh Cr de Menthe,1021,9178.79
5230,Bacardi Party Drinks Bahama,672,10745.28
5231,Bacardi Party Drinks Hurricn,2,31.98
5232,DeKuyper Buttershots Schnaps,901,13505.99
5233,Cointreau Liqueur,1443,28845.569999999996
5242,Cointreau Liqueur,2302,69036.98
5245,Le Reviseur XO Cognac,50,4999.5
5246,Bacardi Party Drinks Zombie,388,6204.12
5251,DeKuyper Buttershots Schnpps,6224,6161.76
5253,Kahlua Original Mudslide RTD,731,11688.69
5254,DeKuyper Buttershots Schnpps,1261,13858.39
5255,TGI Fridays Ultimte Mudslide,734,9534.66
5259,Blue Chair Bay Coconut Rum,509,8647.91
5265,Jenkins Peppermint Schnapps,0,0.0
5268,Mr Boston Rock & Rye,531,4773.6900000000005
5270,Southern Comfort,5913,5853.87
5276,DeKuyper Triple Sec,213,1275.8700000000001
5277,Arrow Sloe Gin,702,5608.9800000000005
5285,Jacquin Triple Sec,979,7822.21
5286,Rosita Triple Sec,429,1711.71
5292,Rumpleminze,2261,40675.39
5296,Southern Comfort 100 Proof,2352,68184.48
5297,Southern Comfort,1694,23699.06
5298,Southern Comfort 100 Proof,1184,20116.16
5299,Southern Comfort,5048,100909.51999999999
5308,Paul Masson Red Berry Brandy,2911,2881.89
5311,Amaretto DiSaronno,1586,55494.14000000001
5312,Amaretto DiSaronno,3478,69525.22
5315,B & B Liqueur Dom,1089,27214.109999999997
5316,Amaretto DiSaronno,6245,14301.05
5317,B & B Liqueur Dom,2028,6672.12
5318,Benedictine Liqueur Dom,814,23597.86
5322,Linie Aquavit,310,8056.9
5330,Kahlua White Russian RTD,698,11161.02
5333,Jenkins Amaretto,618,6791.820000000001
5334,Kahlua Especial,854,19633.46
5335,Ginza No Suzume Shochuu,5,149.95
5337,Drambuie,3157,85207.43
5338,Morecello Blackberry Cello,606,12113.939999999999
5339,Drambuie,3965,11062.35
5342,Grand Marnier,2671,74761.29
5346,Green Chartreuse Liqueur,531,26544.690000000002
5348,St Brendans Irish Cream,1354,14880.460000000001
5353,Grand Marnier,1614,30649.859999999997
5356,Kahlua,1843,18411.57
5357,Campari Negroni,428,14975.720000000001
5358,Irish Mist Honey Liqueur,682,17725.18
5359,Distroya Spiced Liqueur,206,3705.9399999999996
5363,Luxardo Angioletto Hazelnut,7,87.43
5364,Kahlua,8944,268230.56
5365,Kahlua,8153,154825.46999999997
5367,Sambuca di Amore,1358,13566.42
5368,Midori Melon Liqueur,1079,23727.21
5370,DiSaronno Rsva Ltd Edition,52,18199.48
5375,Petrone Limoncello,653,13053.47
5376,Bols Yogurt Liqueur,35,454.65000000000003
5378,Galliano L'Autentico Liqueur,613,15931.869999999999
5381,E&J Peach Brandy,702,694.98
5382,Ice 101 Peppermint Schnapps,974,11678.26
5390,Dr McGillicuddy's Peach,0,0.0
5391,Kamora Coffee,1807,28893.93
5392,Goldschlager Cinnamon Schnps,2221,39955.78999999999
5394,Goldschlager Cinnamon Schnap,963,10583.37
5395,Kahlua Chili Chocolate,385,7311.15
5396,Tia Maria Coffee Liqueur,1113,18909.87
5399,Goldschlager Cinnamon Schna,7207,14341.93
5401,Jagermeister Liqueur,3772,18822.280000000002
5403,Amaretto di Amore,1385,13836.15
5404,E & J Superior Rsv VSOP,1752,9618.48
5408,Bols Maraschino Liqueur,4,45.96
5410,Raspberry di Amore,1090,8709.1
5414,Bols Amaretto Liqueur,133,1062.67
5415,Amaretto di Amore,834,11667.66
5417,Bols Triple Sec,78,623.22
5430,Grand Marnier Cuvee 1880,168,58798.32
5431,Pumpkin King Liqueur,14,349.86
5438,Emmets Irish Cream,1058,10569.42
5440,Jagermeister Liqueur,3548,113500.51999999999
5444,E & J Superior RSV VSOP,784,15672.159999999998
5445,Jagermeister Liqueur,7590,113774.1
5447,Jagermeister Liqueur,2138,21358.62
5452,Bauchant XO Apple,0,0.0
5456,Bauchant XO Apple,31,30.69
5457,After Shock Hot & Cool Cinmn,5548,11040.52
5458,After Shock Hot & Cool Cinmn,486,7771.14
5459,Liquore Strega,0,0.0
5462,Barenjager Honey Liqueur,587,11147.13
5463,Aguardiente Cristal Liqueur,27,350.73
5467,Homericon Mastiha,7,139.92999999999998
5468,Hine Rare VSOP,264,15837.36
5476,Signatory Bowmore Islay 02,37,3884.6299999999997
5480,E & J Superior RSV VSOP,1958,21518.420000000002
5487,Fire Water Hot Cinnamon,24,335.76
5489,DeKuyper Hot Damn Cinnamon,1149,12627.51
5490,DeKuyper Hot Damn Cinnamon,6259,6196.41
5491,Rumpleminze,9652,19207.48
5492,Grand Marnier Cuvee du Cent,128,19198.72
5495,Ch Monet,65,1039.3500000000001
5502,RumChata Liqueur,2852,2823.48
5505,Pallini Limoncello Liqueur,1584,30080.159999999996
5507,Arrow Blackberry Brandy,133,796.6700000000001
5508,Signatory Highland Park 99,41,5329.59
5515,Grand Marnier Flask,54,528.66
5525,Fernet-Branca Italian Liquer,490,12245.099999999999
5527,Fernet Gancia Liqueur,164,3770.3599999999997
5536,St Brendans Irish Cream,5336,7950.64
5537,DeKuyper Pomegranate,9,89.91000000000001
5539,DeKuyper Hot Damn 100*,890,9781.1
5560,Bacardi Mojito Cocktail,608,11545.919999999998
5566,Grind Espresso Shot,445,6670.55
5587,Jose Cuervo Golden Margarita,1064,20205.359999999997
5589,Korbel California Brandy,3,41.97
5595,Hine Antique XO Premier Cru,17,3399.83
5597,DeKuyper Watermelon Pucker,900,8991.0
5598,Integre Raspberry Vodka,2725,13597.75
5603,Gran Gala Liqueur,1,0.99
5606,Montezuma Blue Tequila Liqu,159,1588.41
5609,Integre Vodka,6741,40378.590000000004
5610,West Indies Blue Mtn Coffee,15,494.85
5614,Integre Citrus Vodka,2855,14246.450000000003
5616,Emmets Irish Cream,893,17851.07
5623,Signatory Glen Grant 92 Cask,31,4401.6900000000005
5626,Baja Luna Black Raspberry,972,9710.28
5627,Flag Hill Sugar Maple Liquer,729,13843.71
5628,Baja Rosa Strawberry Liqueur,720,7192.8
5629,RumChata Liqueur,51,458.49
5630,Cabin Fever Maple Liqueur,788,15752.119999999999
5633,Flag Hill Cranberry Liqueur,557,8349.43
5640,Metcalf's Blueberry Liqueur,334,5674.66
5641,Flag Hill Raspberry Liqueur,453,6790.47
5643,Flag Hill Blueberry Liqueur,461,6910.39
5644,Metcalf's Raspberry Liqueur,212,3601.8799999999997
5645,Pallini Raspicello Liqueur,3,74.97
5653,Kahlua Cinnamon Spice,119,2378.81
5655,Jose Cuervo Lite Wh Peach,403,6846.969999999999
5656,Cabin Fever Maple Liqueur,260,387.4
5658,OR-G Liqueur,4,91.96
5661,Dr McGillicuddy's Root Beer,2314,32372.86
5662,Skinnygirl W Peach Margarita,894,9825.06
5667,Skinnygirl Spicy Lime RTD,630,6923.7
5668,Dr McGillicuddy's Grape,2192,30666.08
5669,Fabrizia Blood Orange,1286,21849.14
5676,Kinky Liqueur,3546,7056.54
5680,Barenjager Honey Liqueur,507,1008.9300000000001
5681,Josiah Bartlett Apple Brandy,360,11876.400000000001
5685,P & J Cold Soaked Peaches,281,4352.6900000000005
5688,P & J Cold Soaked Peaches,27,377.73
5689,Villa Massa Limoncello,316,5368.839999999999
5691,P & J Cold Soaked Pineapples,69,965.31
5693,P & J Cold Soaked Berries,34,475.66
5694,Ice Box Mudslide,514,5134.86
5696,Midori Melon Liqueur,609,6692.91
5697,Metcalfe's Maple Liqueur,398,7956.0199999999995
5698,P & J Cold Soaked Pineapples,347,5375.030000000001
5699,Signatory Ben Nevis 91 Cask,9,1304.91
5702,Art In The Age Root Liqueur,294,8817.06
5705,Bauchant Orange Liqueur,399,7976.009999999999
5706,Gr Marnier Raspberry Peach,1545,43244.549999999996
5707,Art in the Age Rhubarb Tea,286,9435.140000000001
5708,Dr McGillicuddy's Root Beer,5953,5893.47
5710,Signatory Laphroaig 97 Cask,41,11151.59
5713,DeKuyper Sour Apple Pucker,991,16837.09
5714,Jose Cuervo Lime Margarita,721,7202.79
5725,DeKuyper Sour Apple Pucker,1228,12267.72
5730,Galliano L'Autentico Liqueur,5162,10272.38
5731,Malibu Passion Fruit Rum,1732,22498.68
5734,Malibu Rum,7574,166552.25999999998
5735,Malibu Rum,5219,67794.81
5737,Blue Chair Bay CocSpc Cream,0,0.0
5739,Malibu Rum,5816,11573.84
5740,Sweet Revenge,380,6836.2
5741,Merry Wh Chocolate Liqueur,553,8289.47
5747,Malibu Pineapple Rum,1704,22134.96
5748,Trader Vics Chocolate Liquer,284,3689.16
5750,Malibu Rum Traveler,1125,14613.75
5758,1800 Ultimate Margarita RTD,724,14472.759999999998
5759,Malibu Tropical Banana Rum,2010,26109.9
5765,Jose Cuervo Lime Margarita,1382,23480.179999999997
5767,Jose Cuervo Strawberry Marg,878,14917.22
5771,Art In The Age Snap,296,8877.039999999999
5773,Kahlua Midnight,1097,21929.03
5776,Malibu Black,425,9345.75
5780,Malibu Black,927,12968.73
5795,Courvoisier L'Essence Cognac,3,10199.97
5798,1800 Raspberry Margarita RTD,324,5504.759999999999
5801,Dr McGillicuddy's Peppermint,4190,4148.1
5802,Martell VSOP Cognac,354,11324.46
5805,Jose Cuervo Light Margaritas,888,15087.119999999999
5808,Los Amantes Reposado Mezcal,259,13724.41
5810,Cuervo Watermelon Margaritas,843,14322.57
5815,Godiva Dark Chocolate,1523,33490.77
5817,GranGala Triple Orange,536,16074.64
5818,Tomahawk Maple Cream Liqueur,136,134.64
5820,Dr McGillicuddy's Peppermint,1401,19599.989999999998
5822,Ryans Irish Cream,651,5201.49
5826,DeKuyper Razzmatazz,960,8630.4
5828,Ryans Irish Cream,525,4719.75
5831,DiSaronno Amaretto,144,1006.5600000000001
5833,Patron Roca Silver Tequila,389,27226.109999999997
5836,Bauers Obstler Echt,344,8596.56
5838,Agave Loco Pepper Cured Teq,96,2063.04
5847,Godiva Chocolate Liqueur,1412,31049.879999999997
5849,GranGala Triple Orange,1108,18824.92
5855,Kahlua Salted Caramel,53,1006.4699999999999
5858,Ole Smoky Apple Pie Moonshin,855,1701.45
5872,Godiva Chocolate Liqueur,3348,10010.52
5875,Malibu Light Bl Hawaiian RTD,556,10002.439999999999
5877,Ryans Irish Cream,7522,7446.78
5890,Godiva Wh Chocolate Liqueur,1470,32325.3
5891,Ryans Irish Cream,551,8810.49
5893,Ole Smoky Wh Lightin'Moonshn,415,825.8499999999999
5897,99 Bananas,765,9172.35
5903,Ole Smoky Hunch Punch Moonsh,2079,4137.21
5912,Yeni Raki,18,359.81999999999994
5921,RumChata Liqueur,1557,31124.429999999997
5929,RumChata Liqueur,543,21714.57
5952,Jagermeister Liqueur,6263,12463.369999999999
5953,Barrow's Intense Ginger,27,539.73
5962,Vermont Ice Maple Creme,739,18467.61
5970,St George Spiced Pear Liquer,10,289.9
5977,Absinthe Ordinaire,380,8736.199999999999
5983,Flag Hill Spiced Rum,303,9086.97
5989,Tanteo Jalapeno Tequila,2224,6649.76
5990,H by Hine Cognac,4,106.2
5992,Kaikouzu Potato Shochu,4,139.96
6003,Jack Daniels 150th Annversry,110,10998.9
6010,Schonauer Apple Liqueur,362,6874.379999999999
6015,Jackson Morgan Salted Carmel,161,4023.39
6021,Jackson Morgan Pepmint Mocha,118,2358.8199999999997
6042,Maurice's Mentholated Mint,450,4495.5
6044,Glenmorangie 25 Yr Old,6,4019.94
6049,Fabrizia Crema di Limoncello,761,12929.39
6062,Sauza Sprkl Mango/Peach Marg,3,20.97
6066,Sauza Sparkling Margarita,30,209.70000000000002
6081,Kinky Blue Liqueur,3057,6083.43
6090,8000 Generations Shochu,7,202.92999999999998
6094,Black Warrior Kuro Shochu,6,179.94
6096,Kinky Blue Liqueur,940,15970.599999999999
6105,Midnight Moon,659,13173.409999999998
6109,Plymouth Sloe Gin,244,7317.5599999999995
6115,Midnight Moon Raspberry,389,7776.11
6116,Sogno di Sorrento Lemoncell,433,11253.67
6126,Sogno di Sorrento Crema Lem,571,14840.289999999999
6140,R M Woodbridge Wh Znfdl Cal,30,239.70000000000002
6145,Marcus James Cab Svgn,332,2652.68
6150,Midnight Moon Blackberry,464,9275.359999999999
6156,Cinnabon Cinnamon Liqueur,260,5197.4
6159,Lepanto Solera Gran Reserva,3,146.97
6162,Jadot Pouilly Fuisse,1173,25794.269999999997
6166,Casa Noble X Anejo C Santana,4,1599.96
6173,Gallo Fairbanks Red Port,644,5145.56
6174,Columbia Crest Grand Merlot,1898,18961.02
6183,Clos du Bois Svgn Bl N Cst,1558,14006.42
6184,Glen Ellen Cab Svgn RSV,20,99.80000000000001
6186,Rene Junot White,192,2494.08
6193,Midnight Moon Moonshine,389,7776.11
6195,Korbel Brut,130,3638.7
6198,Lazzaroni Sambuca,237,4737.63
6199,Zwack Liqueur,1,18.99
6206,Midnight Moon Apple Pie,351,4559.49
6212,Taylor Red Port,27,134.73000000000002
6213,Taylor Red Port,996,7958.04
6214,Taylor Red Port,130,1818.7
6215,Taylor Tawny Port,17,84.83
6216,Taylor Tawny Port,729,5824.71
6224,La Belle Orange Liqueur,606,10295.939999999999
6225,St Germain Liqueur,1546,6168.54
6226,Marcus James Chard,680,5433.2
6227,Bastille 1789 French Whiskey,226,5195.74
6231,Mumm Brut Prestige,2672,42618.4
6232,Avion Reserva 44 Extra Anejo,181,22623.19
6234,C Y Toro Front Cab/Merlot,2503,27507.97
6236,Duboeuf Beaujolais,296,2957.04
6240,Riunite Raspberry,124,1114.76
6241,Sutter Home Chard,248,1485.52
6242,Zirbenz Stone Pine Liqueur,12,515.88
6245,Blossom Hill Chard,206,2263.94
6249,Rodney Strong Chard,4440,48618.0
6254,Tsilili Tsipouro,190,3798.0999999999995
6256,Sutter Home Chard,2508,25054.920000000002
6257,Carlo Rossi Blush Calif,8,119.92
6258,Livingston Chablis Blush Ca,6,71.94
6260,Arrosta Coffee Liqueur,213,7452.870000000001
6264,Cooks Extra Dry,3326,23248.74
6265,Gallo Fairbanks Sherry,23,114.77000000000001
6266,Gallo Fairbanks Sherry,350,2726.5
6267,Kinky Gold Liqueur,914,15528.859999999999
6269,Sutter Home Cab Svgn,1992,19900.08
6270,Shady Fruit Valencia Orange,32,31.68
6273,Vendange Wh Znfdl,1097,8765.03
6278,Sterling Svgn Bl,2958,26592.420000000002
6280,Penfolds Koonunga Hill Chard,405,6070.95
6281,Franzia Sunset Blush Tap,865,11236.35
6285,Gallo Twin Valley Wh Znfdl C,844,8431.56
6288,Almaden Chablis B/B,600,8994.0
6293,Fetzer Gewurz,1650,19783.5
6296,Taylor Sherry,420,3271.8
6312,Gallo Twin Valley Svgn Bl Ca,585,5844.150000000001
6314,Livingston Burgundy Calif,260,3117.4
6319,Santa Cristina Toscana,1348,14814.52
6322,Rene Junot Red,441,5728.59
6329,R M Woodbridge Wh Znfdl Cal,852,7659.4800000000005
6342,Avia Slovenia Chard,29,217.21
6343,Vendange Merlot,12,59.88
6344,Walnut Crest Chard Central,128,1406.72
6346,Amaretto Villa Vittoria Liq,480,8155.199999999999
